state,zip,plan,gender,company,rate_type,rate_min,rate_max,hhd_std_min,hhd_std_max,hhd_rm_min,hhd_rm_max,phone,website,address
NC,27101,G,FEMALE,"Physicians Mutual Insurance Company, Inc. (Innovative)",ATTAINED_AGE,133.71,133.71,,,118.85,118.85,800-325-6300,https://www.physiciansmutual.com/cs/products/medsup/medsup.html,"2600 Dodge Street, Omaha, Nebraska 68131"
NC,27101,G,FEMALE,Old Surety Life Insurance Company,ISSUE_AGE,141.61,141.61,,,,,800-272-5466,http://www.oldsurety.com/,"5201 N Lincoln Blvd, Oklahoma City, OK 73105"
NC,27101,G,FEMALE,Atlantic Capital Life Assurance Company (Standard),ATTAINED_AGE,143.35,143.35,,,133.32,133.32,866-458-1430,https://bankersfidelity.com/,"4370 Peachtree Road, NE Atlanta, GA  30319"
NC,27101,G,FEMALE,Insurance Company of North America,ATTAINED_AGE,147.67,147.67,,,137.33,137.33,215-640-1000,https://www.chubb.com/microsites/ace-medicare-supplement.html,436 Walnut Street
NC,27101,G,FEMALE,LifeShield National Insurance Company,ATTAINED_AGE,148.31,148.31,,,137.93,137.93,800-851-5041,https://www.lifeshieldnational.com/,"5500 N Western Avenue, Suite 200, Oklahoma City, OK 73118"
NC,27101,G,FEMALE,HealthSpring Insurance Company,ATTAINED_AGE,149.5,149.5,,,,,877-607-6002,https://www.cigna.com/medicare/shop-plans/supplemental/,"PO Box 5700, Scranton PA 18505-5700"
NC,27101,G,FEMALE,Lumos Insurance,ATTAINED_AGE,150.5,150.5,,,139.96,139.96,800-752-8328,https://www.lumosinsurance.com/life-health,"2701 North Main Street, Crossville, TN 38555"
NC,27101,G,FEMALE,WoodmenLife,ATTAINED_AGE,152.66,152.66,,,137.39,137.39,1-866-236-0029,https://www.woodmenlife.org/insurance/medicare-supplement-insurance/,"1700 Farnam Street, Omaha, NE 68102"
NC,27101,G,FEMALE,Erie Family Life Insurance Company,ATTAINED_AGE,154.71,154.71,142.33,142.33,,,800-458-0811,https://www.erieinsurance.com/medicare-supplement,"100 Erie Insurance Place Erie, PA  16530"
NC,27101,G,FEMALE,American Benefit Life Insurance Company,ATTAINED_AGE,155.43,155.43,,,139.89,139.89,833-504-0331,https://lbig.com/,"1605 LBJ Freeway, Suite 700 Dallas, Texas 75234"
NC,27101,G,FEMALE,Globe Life and Accident Insurance Company,ATTAINED_AGE,156,156,,,145.08,145.08,888-678-3403,https://www.globelifeinsurance.com/globecaremedsupp,"3700 S. Stonebridge Drive McKinney, TX 75070"
NC,27101,G,FEMALE,Medico Insurance Company (Preferred),ATTAINED_AGE,156.81,156.81,,,137.99,137.99,800-228-6080,https://www.gomedico.com/,"P.O. Box 10386 Des Moines, IA 50306-0386"
NC,27101,G,FEMALE,AFLAC,ATTAINED_AGE,156.87,156.87,,,141.18,141.18,866-990-2668,https://www.aflac.com/individuals,"Aflac Tier One, PO Box 14863, Lexington, KY 40512-4863"
NC,27101,G,FEMALE,Bankers Life (Underwritten by Washington National Insurance Company),ATTAINED_AGE,163.34,163.34,,,,,800-446-5018,https://www.bankerslife.com/medicare-supplement-insurance/?src=medicaregov&medium=listing,"11299 Illinois Street, Suite 200, Carmel, IN 46032"
NC,27101,G,FEMALE,AARP - UnitedHealthcare Insurance Company (Standard),COMMUNITY_RATED,165.44,165.44,146.22,146.22,,,888-378-0849,https://www.aarpmedicaresupplement.com/,PO Box 9003; Huntingdon Valley PA 19006
NC,27101,G,FEMALE,"Humana (Humana Benefit Plan of Illinois, Inc.)",ATTAINED_AGE,167.63,167.63,,,147.27,147.27,877-426-1269,https://www.humana.com/medicare/medicare-supplement-plans?kc=0321046030,"P.O. Box 14611 Lexington, KY 40512-4611"
NC,27101,G,FEMALE,Medico Insurance Company (Standard I),ATTAINED_AGE,172.49,172.49,,,151.79,151.79,800-228-6080,https://www.gomedico.com/,"P.O. Box 10386 Des Moines, IA 50306-0386"
NC,27101,G,FEMALE,New Era Life Insurance Company of the Midwest,ATTAINED_AGE,172.8,172.8,162.43,162.43,,,877-417-7555,http://www.neweralife.com/,"P.O. Box 4884, Houston, TX 77210-4884"
NC,27101,G,FEMALE,State Farm Mutual Automobile Insurance Company,ATTAINED_AGE,177.14,177.14,,,,,800-782-8332,https://www.statefarm.com/insurance/health/medicare-supplemental,"One State Farm Plaza, Bloomington, IL 61710"
NC,27101,G,FEMALE,BlueCross BlueShield of North Carolina,ATTAINED_AGE,179.5,179.5,,,,,800-478-0583,https://www.bluecrossnc.com/,"PO Box 2291 Durham, NC  27702-2291"
NC,27101,G,FEMALE,AARP - UnitedHealthcare Insurance Company of America (Standard),COMMUNITY_RATED,180.95,180.95,153.2,153.2,162.45,162.45,888-378-0849,https://www.aarpmedicaresupplement.com/,PO Box 9003; Huntingdon Valley PA 19006
NC,27101,G,FEMALE,Aetna Health Insurance Company,ATTAINED_AGE,181.01,181.01,168.34,168.34,,,800-358-8749 ,https://www.aetnamedicare.com/,"PO Box 14088 Lexington, KY 40513"
NC,27101,G,FEMALE,USAA Life Insurance Company,ATTAINED_AGE,184.28,184.28,,,,,800-531-8722,https://www.usaa.com/inet/wc/insurance-health-medicare,"9800 Fredericksburg Rd. San Antonio, TX 78288"
NC,27101,G,FEMALE,Mutual of Omaha (Omaha Insurance Company),ATTAINED_AGE,184.64,184.64,,,162.48,162.48,855-977-6312,https://www.mutualofomaha.com/medicaregov/,"3300 Mutual of Omaha Plaza, Omaha, NE 68175"
NC,27101,G,FEMALE,Heartland National Life Insurance Company,ATTAINED_AGE,189.55,189.55,,,176.28,176.28,866-916-7971,http://www.heartlandnational.net/medicare.php,"P.O. Box 2878 Salt Lake City , UT 84110-2878"
NC,27101,G,FEMALE,Humana Achieve (CompBenefits Insurance Company),ATTAINED_AGE,192.48,192.48,,,169.14,169.14,888-602-7443,https://www.humana.com/medicare/medicare-supplement-plans?kc=0321046030,"P.O. Box 14611 Lexington, KY 40512-4614"
NC,27101,G,FEMALE,Medico Insurance Company (Standard II),ATTAINED_AGE,196.01,196.01,,,172.49,172.49,800-228-6080,https://www.gomedico.com/,"P.O. Box 10386 Des Moines, IA 50306-0386"
NC,27101,G,FEMALE,Bankers Life (Underwritten by Washington National Insurance Company) (Substandard),ATTAINED_AGE,201.65,201.65,,,,,800-446-5018,https://www.bankerslife.com/medicare-supplement-insurance/?src=medicaregov&medium=listing,"11299 Illinois Street, Suite 200, Carmel, IN 46032"
NC,27101,G,FEMALE,"Physicians Mutual Insurance Company, Inc.",ATTAINED_AGE,209.4,209.4,,,186.13,186.13,800-325-6300,https://www.physiciansmutual.com/cs/products/medsup/medsup.html,"2600 Dodge Street, Omaha, Nebraska 68131"
NC,27101,G,FEMALE,HealthSpring Insurance Company (Standard II),ATTAINED_AGE,224.25,224.25,,,,,877-607-6002,https://www.cigna.com/medicare/shop-plans/supplemental/,"PO Box 5700, Scranton PA 18505-5700"
NC,27101,G,FEMALE,GPM Health and Life Insurance Company,ATTAINED_AGE,271.87,271.87,,,252.84,252.84,866-242-7573,https://www.gpmhealthandlife.com/wps/portal/home/products/medicare-supplement,"2211 N.E. Loop 410 San Antonio, TX 78217-4630"
NC,27101,G,FEMALE,AARP - UnitedHealthcare Insurance Company (Level 2),COMMUNITY_RATED,282.65,282.65,249.98,249.98,,,888-378-0849,https://www.aarpmedicaresupplement.com/,PO Box 9003; Huntingdon Valley PA 19006
NC,27101,G,FEMALE,United American Insurance Company,ATTAINED_AGE,310,310,,,,,800-331-2512,https://www2.unitedamerican.com/,"3700 S Stonebridge Dr, McKinney, TX 75070"
NC,27101,G,FEMALE,Guarantee Trust Life Insurance Company,ATTAINED_AGE,315.2,315.2,,,293.14,293.14,800-338-7452,https://www.gtlic.com/,"1275 Milwaukee Avenue Glenview, IL 60025"
NC,27101,G,FEMALE,AARP - UnitedHealthcare Insurance Company of America (Level 2),COMMUNITY_RATED,504.63,504.63,428.33,428.33,453.76,453.76,888-378-0849,https://www.aarpmedicaresupplement.com/,PO Box 9003; Huntingdon Valley PA 19006
NC,27101,N,MALE,Atlantic Capital Life Assurance Company (Preferred),ATTAINED_AGE,101.7,101.7,,,94.58,94.58,866-458-1430,https://bankersfidelity.com/,"4370 Peachtree Road, NE Atlanta, GA  30319"
NC,27101,N,MALE,Bankers Life (Underwritten by Washington National Insurance Company),ATTAINED_AGE,105.76,105.76,,,,,800-446-5018,https://www.bankerslife.com/medicare-supplement-insurance/?src=medicaregov&medium=listing,"11299 Illinois Street, Suite 200, Carmel, IN 46032"
NC,27101,N,MALE,Insurance Company of North America,ATTAINED_AGE,110.33,110.33,,,102.61,102.61,215-640-1000,https://www.chubb.com/microsites/ace-medicare-supplement.html,436 Walnut Street
NC,27101,N,MALE,Nassau Life Insurance Company,ATTAINED_AGE,112.31,112.31,,,,,860-403-5000,https://www.nsre.com/,"One American Row, Hartford, CT  06103"
NC,27101,N,MALE,Humana Achieve (CompBenefits Insurance Company),ATTAINED_AGE,113.66,113.66,,,99.78,99.78,888-602-7443,https://www.humana.com/medicare/medicare-supplement-plans?kc=0321046030,"P.O. Box 14611 Lexington, KY 40512-4614"
NC,27101,N,MALE,AFLAC,ATTAINED_AGE,116.44,116.44,,,104.8,104.8,866-990-2668,https://www.aflac.com/individuals,"Aflac Tier One, PO Box 14863, Lexington, KY 40512-4863"
NC,27101,N,MALE,Lumos Insurance,ATTAINED_AGE,117.32,117.32,,,109.11,109.11,800-752-8328,https://www.lumosinsurance.com/life-health,"2701 North Main Street, Crossville, TN 38555"
NC,27101,N,MALE,HealthSpring Insurance Company,ATTAINED_AGE,125.5,125.5,,,,,877-607-6002,https://www.cigna.com/medicare/shop-plans/supplemental/,"PO Box 5700, Scranton PA 18505-5700"
NC,27101,N,MALE,Atlantic Capital Life Assurance Company (Standard),ATTAINED_AGE,126.77,126.77,,,117.9,117.9,866-458-1430,https://bankersfidelity.com/,"4370 Peachtree Road, NE Atlanta, GA  30319"
NC,27101,N,MALE,WoodmenLife,ATTAINED_AGE,127,127,,,114.3,114.3,1-866-236-0029,https://www.woodmenlife.org/insurance/medicare-supplement-insurance/,"1700 Farnam Street, Omaha, NE 68102"
NC,27101,N,MALE,LifeShield National Insurance Company,ATTAINED_AGE,127.41,127.41,,,118.49,118.49,800-851-5041,https://www.lifeshieldnational.com/,"5500 N Western Avenue, Suite 200, Oklahoma City, OK 73118"
NC,27101,N,MALE,Bankers Life (Underwritten by Washington National Insurance Company) (Substandard),ATTAINED_AGE,130.57,130.57,,,,,800-446-5018,https://www.bankerslife.com/medicare-supplement-insurance/?src=medicaregov&medium=listing,"11299 Illinois Street, Suite 200, Carmel, IN 46032"
NC,27101,N,MALE,Medico Insurance Company (Preferred),ATTAINED_AGE,132.38,132.38,,,116.49,116.49,800-228-6080,https://www.gomedico.com/,"P.O. Box 10386 Des Moines, IA 50306-0386"
NC,27101,N,MALE,"Humana (Humana Benefit Plan of Illinois, Inc.)",ATTAINED_AGE,134.39,134.39,,,118.02,118.02,877-426-1269,https://www.humana.com/medicare/medicare-supplement-plans?kc=0321046030,"P.O. Box 14611 Lexington, KY 40512-4611"
NC,27101,N,MALE,American Benefit Life Insurance Company,ATTAINED_AGE,135.13,135.13,,,121.62,121.62,833-504-0331,https://lbig.com/,"1605 LBJ Freeway, Suite 700 Dallas, Texas 75234"
NC,27101,N,MALE,Mutual of Omaha (Omaha Insurance Company),ATTAINED_AGE,136.76,136.76,,,120.35,120.35,855-977-6312,https://www.mutualofomaha.com/medicaregov/,"3300 Mutual of Omaha Plaza, Omaha, NE 68175"
NC,27101,N,MALE,State Farm Mutual Automobile Insurance Company,ATTAINED_AGE,140.17,140.17,,,,,800-782-8332,https://www.statefarm.com/insurance/health/medicare-supplemental,"One State Farm Plaza, Bloomington, IL 61710"
NC,27101,N,MALE,Aetna Health Insurance Company,ATTAINED_AGE,143.36,143.36,133.32,133.32,133.32,133.32,800-358-8749 ,https://www.aetnamedicare.com/,"PO Box 14088 Lexington, KY 40513"
NC,27101,N,MALE,New Era Life Insurance Company of the Midwest,ATTAINED_AGE,143.45,143.45,134.84,134.84,134.84,134.84,877-417-7555,http://www.neweralife.com/,"P.O. Box 4884, Houston, TX 77210-4884"
NC,27101,N,MALE,USAA Life Insurance Company,ATTAINED_AGE,144.33,144.33,,,,,800-531-8722,https://www.usaa.com/inet/wc/insurance-health-medicare,"9800 Fredericksburg Rd. San Antonio, TX 78288"
NC,27101,N,MALE,Globe Life and Accident Insurance Company,ATTAINED_AGE,145,145,,,134.85,134.85,888-678-3403,https://www.globelifeinsurance.com/globecaremedsupp,"3700 S. Stonebridge Drive McKinney, TX 75070"
NC,27101,N,MALE,Medico Insurance Company (Standard I),ATTAINED_AGE,145.62,145.62,,,128.15,128.15,800-228-6080,https://www.gomedico.com/,"P.O. Box 10386 Des Moines, IA 50306-0386"
NC,27101,N,MALE,GPM Health and Life Insurance Company,ATTAINED_AGE,147.66,147.66,,,137.32,137.32,866-242-7573,https://www.gpmhealthandlife.com/wps/portal/home/products/medicare-supplement,"2211 N.E. Loop 410 San Antonio, TX 78217-4630"
NC,27101,N,MALE,Erie Family Life Insurance Company,ATTAINED_AGE,147.68,147.68,135.87,135.87,135.87,135.87,800-458-0811,https://www.erieinsurance.com/medicare-supplement,"100 Erie Insurance Place Erie, PA  16530"
NC,27101,N,MALE,AARP - UnitedHealthcare Insurance Company of America (Standard),COMMUNITY_RATED,148.02,148.02,125.21,125.21,132.81,132.81,888-378-0849,https://www.aarpmedicaresupplement.com/,PO Box 9003; Huntingdon Valley PA 19006
NC,27101,N,MALE,Medico Insurance Company (Standard II),ATTAINED_AGE,165.48,165.48,,,145.62,145.62,800-228-6080,https://www.gomedico.com/,"P.O. Box 10386 Des Moines, IA 50306-0386"
NC,27101,N,MALE,Heartland National Life Insurance Company,ATTAINED_AGE,171.53,171.53,,,159.52,159.52,866-916-7971,http://www.heartlandnational.net/medicare.php,"P.O. Box 2878 Salt Lake City , UT 84110-2878"
NC,27101,N,MALE,BlueCross BlueShield of North Carolina,ATTAINED_AGE,172.75,172.75,,,,,800-478-0583,https://www.bluecrossnc.com/,"PO Box 2291 Durham, NC  27702-2291"
NC,27101,N,MALE,AARP - UnitedHealthcare Insurance Company (Standard),COMMUNITY_RATED,176.73,176.73,156.22,156.22,,,888-378-0849,https://www.aarpmedicaresupplement.com/,PO Box 9003; Huntingdon Valley PA 19006
NC,27101,N,MALE,HealthSpring Insurance Company (Standard II),ATTAINED_AGE,188.24,188.24,,,,,877-607-6002,https://www.cigna.com/medicare/shop-plans/supplemental/,"PO Box 5700, Scranton PA 18505-5700"
NC,27101,N,MALE,"Physicians Mutual Insurance Company, Inc.",ATTAINED_AGE,214.51,214.51,,,190.68,190.68,800-325-6300,https://www.physiciansmutual.com/cs/products/medsup/medsup.html,"2600 Dodge Street, Omaha, Nebraska 68131"
NC,27101,N,MALE,Guarantee Trust Life Insurance Company,ATTAINED_AGE,228.33,228.33,,,212.35,212.35,800-338-7452,https://www.gtlic.com/,"1275 Milwaukee Avenue Glenview, IL 60025"
NC,27101,N,MALE,AARP - UnitedHealthcare Insurance Company (Level 2),COMMUNITY_RATED,301.84,301.84,266.97,266.97,,,888-378-0849,https://www.aarpmedicaresupplement.com/,PO Box 9003; Huntingdon Valley PA 19006
NC,27101,N,MALE,United American Insurance Company,ATTAINED_AGE,361,361,,,,,800-331-2512,https://www2.unitedamerican.com/,"3700 S Stonebridge Dr, McKinney, TX 75070"
NC,27101,N,MALE,AARP - UnitedHealthcare Insurance Company of America (Level 2),COMMUNITY_RATED,493.1,493.1,418.53,418.53,443.39,443.39,888-378-0849,https://www.aarpmedicaresupplement.com/,PO Box 9003; Huntingdon Valley PA 19006
NC,27101,N,FEMALE,Atlantic Capital Life Assurance Company (Preferred),ATTAINED_AGE,88.67,88.67,,,82.46,82.46,866-458-1430,https://bankersfidelity.com/,"4370 Peachtree Road, NE Atlanta, GA  30319"
NC,27101,N,FEMALE,Bankers Life (Underwritten by Washington National Insurance Company),ATTAINED_AGE,95.18,95.18,,,,,800-446-5018,https://www.bankerslife.com/medicare-supplement-insurance/?src=medicaregov&medium=listing,"11299 Illinois Street, Suite 200, Carmel, IN 46032"
NC,27101,N,FEMALE,Insurance Company of North America,ATTAINED_AGE,97.5,97.5,,,90.68,90.68,215-640-1000,https://www.chubb.com/microsites/ace-medicare-supplement.html,436 Walnut Street
NC,27101,N,FEMALE,Nassau Life Insurance Company,ATTAINED_AGE,97.71,97.71,,,,,860-403-5000,https://www.nsre.com/,"One American Row, Hartford, CT  06103"
NC,27101,N,FEMALE,Humana Achieve (CompBenefits Insurance Company),ATTAINED_AGE,98.83,98.83,,,86.73,86.73,888-602-7443,https://www.humana.com/medicare/medicare-supplement-plans?kc=0321046030,"P.O. Box 14611 Lexington, KY 40512-4614"
NC,27101,N,FEMALE,AFLAC,ATTAINED_AGE,101.65,101.65,,,91.49,91.49,866-990-2668,https://www.aflac.com/individuals,"Aflac Tier One, PO Box 14863, Lexington, KY 40512-4863"
NC,27101,N,FEMALE,Lumos Insurance,ATTAINED_AGE,106.72,106.72,,,99.25,99.25,800-752-8328,https://www.lumosinsurance.com/life-health,"2701 North Main Street, Crossville, TN 38555"
NC,27101,N,FEMALE,HealthSpring Insurance Company,ATTAINED_AGE,109.13,109.13,,,,,877-607-6002,https://www.cigna.com/medicare/shop-plans/supplemental/,"PO Box 5700, Scranton PA 18505-5700"
NC,27101,N,FEMALE,WoodmenLife,ATTAINED_AGE,110.44,110.44,,,99.4,99.4,1-866-236-0029,https://www.woodmenlife.org/insurance/medicare-supplement-insurance/,"1700 Farnam Street, Omaha, NE 68102"
NC,27101,N,FEMALE,Atlantic Capital Life Assurance Company (Standard),ATTAINED_AGE,110.48,110.48,,,102.75,102.75,866-458-1430,https://bankersfidelity.com/,"4370 Peachtree Road, NE Atlanta, GA  30319"
NC,27101,N,FEMALE,LifeShield National Insurance Company,ATTAINED_AGE,110.79,110.79,,,103.03,103.03,800-851-5041,https://www.lifeshieldnational.com/,"5500 N Western Avenue, Suite 200, Oklahoma City, OK 73118"
NC,27101,N,FEMALE,Medico Insurance Company (Preferred),ATTAINED_AGE,115.12,115.12,,,101.31,101.31,800-228-6080,https://www.gomedico.com/,"P.O. Box 10386 Des Moines, IA 50306-0386"
NC,27101,N,FEMALE,Bankers Life (Underwritten by Washington National Insurance Company) (Substandard),ATTAINED_AGE,117.5,117.5,,,,,800-446-5018,https://www.bankerslife.com/medicare-supplement-insurance/?src=medicaregov&medium=listing,"11299 Illinois Street, Suite 200, Carmel, IN 46032"
NC,27101,N,FEMALE,American Benefit Life Insurance Company,ATTAINED_AGE,117.51,117.51,,,105.76,105.76,833-504-0331,https://lbig.com/,"1605 LBJ Freeway, Suite 700 Dallas, Texas 75234"
NC,27101,N,FEMALE,"Humana (Humana Benefit Plan of Illinois, Inc.)",ATTAINED_AGE,118.93,118.93,,,104.42,104.42,877-426-1269,https://www.humana.com/medicare/medicare-supplement-plans?kc=0321046030,"P.O. Box 14611 Lexington, KY 40512-4611"
